L -3.4314, -123.8126, 31.5634,  -61.3590, -123.7951, 31.5634,  240, 240, 240
L -61.3500, -137.8882, 31.5634,  -61.3590, -123.7951, 31.5634,  240, 240, 240
L -3.4302, -137.8959, 31.5634,  -61.3500, -137.8882, 31.5634,  240, 240, 240
L 8.3895, -146.9308, -4.4558,  -73.1753, -146.9317, -4.4560,  0, 0, 0
L -4.2937, -86.6401, -5.4507,  4.5015, -86.6384, -5.4508,  127, 127, 0
L -4.6280, 8.4075, -5.1524,  -4.6249, 6.2591, -5.1535,  0, 0, 0
L -4.6249, 6.2591, -5.1532,  -6.9687, 6.2545, -5.1532,  0, 0, 0
L -6.9687, 6.2545, -5.1532,  -6.9619, 8.4722, -4.1120,  0, 0, 0
L -4.6283, 8.4712, -4.1120,  -13.5776, 8.4746, -4.1130,  0, 0, 0
L -10.2019, 8.4733, -4.1130,  -10.1750, 6.2755, -5.1532,  0, 0, 0
L -11.3634, 6.2789, -5.1532,  -11.3611, 4.9786, -5.1532,  0, 0, 0
L -11.3611, 4.9786, -5.1524,  -13.5774, 4.9804, -4.1130,  0, 0, 0
L -13.5776, 8.4746, -4.1130,  -13.5751, -33.6447, -4.1130,  0, 0, 0
L -13.5768, -5.1307, -4.1130,  -11.3635, -5.1280, -5.1532,  0, 0, 0
L -11.3635, -5.1280, -5.1532,  -11.3621, -7.5320, -5.1532,  0, 0, 0
L -11.3621, -7.5320, -5.1532,  -13.5774, -7.5320, -4.1130,  0, 0, 0
L -13.5775, -17.6417, -4.1130,  -11.3617, -17.6386, -5.1532,  0, 0, 0
L -11.3617, -17.6386, -5.1532,  -11.3637, -20.4630, -5.1532,  0, 0, 0
L -11.3637, -20.4630, -5.1532,  -13.5410, -20.4170, -4.1130,  0, 0, 0
L -13.5753, -30.1529, -4.1130,  -11.3612, -30.1481, -5.1532,  0, 0, 0
L -11.3612, -30.1481, -5.1532,  -11.3633, -31.4512, -5.1532,  0, 0, 0
L -11.3633, -31.4513, -5.1532,  -10.1920, -31.4512, -5.1532,  0, 0, 0
L -10.1920, -31.4512, -5.1532,  -10.2129, -33.6450, -5.1531,  0, 0, 0
L -13.5751, -33.6447, -4.1130,  -4.6261, -33.6458, -4.1130,  0, 0, 0
L -6.9611, -33.6456, -4.1128,  -6.9645, -31.4315, -5.1532,  0, 0, 0
L -6.9645, -31.4315, -5.1532,  -4.6254, -31.4298, -5.1532,  0, 0, 0
L 4.8353, -38.5848, -5.1527,  4.8277, -31.4319, -5.1535,  0, 0, 0
L 4.8277, -31.4319, -5.1532,  7.1646, -31.4298, -5.1532,  0, 0, 0
L -4.6279, -38.5874, -5.1527,  -4.6254, -31.4298, -5.1535,  0, 0, 0
L -11.3634, 6.2789, -5.1532,  -10.1750, 6.2755, -5.1532,  0, 0, 0
L 13.7835, 8.4738, -4.1130,  13.7401, -33.6456, -4.1130,  0, 0, 0
L 13.7439, -30.1524, -4.1130,  11.5632, -30.1489, -5.1532,  0, 0, 0
L 11.5657, -31.4512, -5.1532,  11.5632, -30.1489, -5.1532,  0, 0, 0
L 11.5660, -31.4513, -5.1532,  10.2227, -31.4495, -5.1532,  0, 0, 0
L 10.2227, -31.4495, -5.1532,  10.2225, -33.6456, -4.1130,  0, 0, 0
L 13.7401, -33.6456, -4.1130,  4.8300, -33.6456, -4.1130,  0, 0, 0
L 7.1638, -33.6456, -4.1130,  7.1646, -31.4298, -5.1532,  0, 0, 0
L 4.8193, 8.4725, -5.1534,  4.8342, 6.2610, -5.1535,  0, 0, 0
L 7.1653, 6.2564, -5.1532,  4.8342, 6.2610, -5.1532,  0, 0, 0
L 7.1623, 8.4730, -5.1523,  7.1653, 6.2564, -5.1532,  0, 0, 0
L 4.8193, 8.4725, -4.1130,  13.7835, 8.4738, -4.1130,  0, 0, 0
L 10.2234, 8.4733, -4.1130,  10.2218, 6.2781, -5.1532,  0, 0, 0
L 13.7805, 4.9805, -4.1130,  11.5633, 4.9775, -5.1532,  0, 0, 0
L 11.5633, 4.9775, -5.1532,  11.5655, 6.2792, -5.1532,  0, 0, 0
L 11.5655, 6.2792, -5.1532,  10.2218, 6.2781, -5.1532,  0, 0, 0
L 13.7531, -7.5305, -4.1130,  11.5655, -7.5327, -5.1532,  0, 0, 0
L 13.7796, -5.1311, -4.1130,  11.5652, -5.1280, -5.1532,  0, 0, 0
L 11.5663, -20.4209, -5.1532,  11.5638, -17.6415, -5.1532,  0, 0, 0
L 13.7794, -17.6416, -4.1130,  11.5638, -17.6415, -5.1532,  0, 0, 0
L 13.7795, -20.4110, -4.1130,  11.5663, -20.4209, -5.1532,  0, 0, 0
L 11.5655, -7.5327, -5.1532,  11.5652, -5.1280, -5.1532,  0, 0, 0
L -4.6279, -38.5874, -5.1524,  -7.7214, -38.5805, -5.1524,  0, 0, 0
L -7.7214, -38.5805, -5.1524,  -7.7172, -43.5921, -5.1516,  0, 0, 0
L -7.7172, -43.5921, -5.1520,  -8.7201, -43.6064, -5.1524,  0, 0, 0
L -8.7201, -43.6064, -5.1524,  -8.7157, -78.3020, -5.1520,  0, 0, 0
L -8.7157, -78.3020, -5.1520,  -7.7145, -78.2849, -5.1527,  0, 0, 0
L -7.7145, -78.2849, -5.1527,  -7.7191, -83.4120, -5.1534,  0, 0, 0
L -7.7191, -83.4120, -5.1534,  -4.6226, -83.3319, -5.1535,  0, 0, 0
L 4.8319, -83.3750, -5.1553,  7.9271, -83.3359, -5.1569,  0, 0, 0
L 7.9271, -83.3359, -5.1569,  7.9238, -78.2169, -5.1543,  0, 0, 0
L 7.9238, -78.2169, -5.1539,  8.9270, -78.2240, -5.1539,  0, 0, 0
L 8.9270, -78.2240, -5.1539,  8.9238, -43.5994, -5.1532,  0, 0, 0
L 8.9238, -43.5994, -5.1532,  7.9230, -43.5996, -5.1535,  0, 0, 0
L 7.9230, -43.5996, -5.1534,  7.9249, -38.5869, -5.1554,  0, 0, 0
L 7.9249, -38.5869, -5.1554,  4.8353, -38.5848, -5.1542,  0, 0, 0
L -4.6261, -33.9893, -5.1531,  4.8304, -33.9883, -5.1527,  127, 127, 0
L 4.8319, -83.3750, -5.1543,  4.8300, -90.1894, -5.1546,  0, 0, 0
L -4.6226, -83.3319, -5.1543,  -4.6264, -90.1888, -5.1546,  0, 0, 0
L -4.6264, -90.1888, -5.1543,  -6.8956, -90.1888, -5.1543,  0, 0, 0
L -6.8956, -90.1888, -5.1543,  -6.8952, -87.9107, -3.1543,  0, 0, 0
L 8.3892, -90.1868, -3.1543,  8.3895, -146.9308, -3.1543,  0, 0, 0
L 4.8300, -90.1894, -5.1543,  8.3892, -90.1868, -5.1543,  0, 0, 0
L -6.9733, -87.9103, -3.1543,  -57.8920, -87.9107, -3.1543,  0, 0, 0
L -57.8920, -87.9107, -3.1543,  -57.8860, -90.1894, -5.1543,  0, 0, 0
L -57.8860, -90.1894, -5.1543,  -60.1651, -90.1898, -5.1543,  0, 0, 0
L -60.1651, -90.1898, -5.1547,  -60.1612, -84.6282, -5.1546,  0, 0, 0
L -60.1612, -84.6282, -5.1557,  -57.6809, -84.6273, -5.1573,  0, 0, 0
L -57.6809, -84.6273, -5.1573,  -57.6920, -79.6209, -5.1547,  0, 0, 0
L -57.6920, -79.6209, -5.1535,  -56.6559, -79.6161, -5.1535,  0, 0, 0
L -56.6940, -58.5105, -5.1500,  -110.5567, -58.5167, -5.1500,  0, 0, 0
L -56.6559, -79.6161, -5.1500,  -56.6940, -58.5105, -5.1500,  0, 0, 0
L -69.6246, -84.6256, -5.1539,  -72.7133, -84.6341, -5.1542,  0, 0, 0
L -72.7133, -84.6341, -5.1542,  -72.7115, -79.6222, -5.1531,  0, 0, 0
L -72.7115, -79.6222, -5.1523,  -73.7111, -79.6229, -5.1523,  0, 0, 0
L -73.7111, -79.6229, -5.1523,  -73.7168, -76.1560, -5.1505,  0, 0, 0
L -69.6246, -84.6256, -5.1547,  -69.6170, -90.1911, -5.1546,  0, 0, 0
L -69.6170, -90.1911, -5.1543,  -73.1764, -90.1842, -5.1543,  0, 0, 0
L -73.1764, -90.1842, -3.1543,  -73.1753, -146.9317, -3.1543,  0, 0, 0
L -73.7168, -76.1560, -5.1497,  -128.2016, -76.1577, -5.1576,  0, 0, 0
L -128.2016, -76.1577, -5.1577,  -128.2021, -54.7062, -5.1550,  0, 0, 0
L -128.2021, -54.7062, -5.1550,  -127.1991, -54.7053, -5.1547,  0, 0, 0
L -114.6500, -49.6959, -5.1547,  -111.5554, -49.6858, -5.1547,  0, 0, 0
L -111.5554, -49.6858, -5.1547,  -111.5567, -54.6980, -5.1539,  0, 0, 0
L -110.5580, -54.7126, -5.1547,  -110.5567, -58.5167, -5.1557,  0, 0, 0
L -124.1046, -49.6906, -5.1562,  -127.1315, -49.6929, -5.1577,  0, 0, 0
L -127.1991, -54.7053, -5.1554,  -127.2005, -49.6925, -5.1577,  0, 0, 0
L -110.5610, -54.6978, -5.1550,  -111.5567, -54.6980, -5.1547,  0, 0, 0
L -124.1046, -49.6906, -5.1553,  -124.1076, -42.5454, -5.1546,  0, 0, 0
L -124.1076, -42.5454, -5.1543,  -126.4501, -42.5454, -5.1543,  0, 0, 0
L -126.4501, -42.5454, -4.8163,  -126.4505, -23.7667, -16.5622,  0, 0, 0
L -126.4295, -23.7667, -16.5622,  -126.4518, -14.8788, -16.9962,  0, 0, 0
L -126.4514, -14.9275, -16.9557,  -126.4525, 1.1704, -28.1649,  0, 0, 0
L -114.6500, -49.6959, -5.1554,  -114.6517, -42.5474, -5.1546,  0, 0, 0
L -114.6517, -42.5474, -5.1543,  -112.3071, -42.5427, -5.1538,  0, 0, 0
L -112.3071, -42.5427, -4.8151,  -112.3063, -23.7667, -16.5622,  0, 0, 0
L -112.3067, -23.7668, -16.5622,  -112.3108, -14.9270, -16.9553,  0, 0, 0
L -112.3108, -14.9270, -16.9553,  -112.3050, 1.1704, -28.2404,  0, 0, 0
L -98.9513, 7.2374, -22.4303,  -112.3157, 7.2362, -22.4303,  0, 0, 0
L -113.2048, 10.2286, -29.4314,  -102.6050, 10.2375, -29.4314,  127, 127, 127
L -132.2511, 44.7184, -29.4283,  -132.2493, 52.2451, -29.4303,  127, 127, 127
L -138.4122, 44.6897, -29.4303,  -138.4200, 52.2496, -29.4304,  127, 127, 127
L -132.2511, 44.7184, -28.4585,  -138.4122, 44.6897, -29.1725,  127, 127, 127
L -138.4200, 52.2496, -29.3967,  -132.2493, 52.2451, -29.2977,  127, 127, 127
L -137.8978, 73.2864, -29.4296,  -151.6902, 73.2848, -29.4296,  0, 0, 0
L -151.6902, 73.2848, -29.4296,  -151.6901, 70.8828, -29.4296,  0, 0, 0
L -151.6901, 70.8828, -29.4299,  -137.8934, 70.8824, -29.4299,  0, 0, 0
L -137.8978, 73.2864, -29.4296,  -137.8934, 70.8824, -29.4296,  0, 0, 0
L -139.7912, 58.3746, -29.4296,  -137.8923, 58.3733, -29.4304,  0, 0, 0
L -137.8923, 58.3733, -29.4304,  -137.8976, 60.7740, -29.4304,  0, 0, 0
L -137.8976, 60.7740, -29.4304,  -151.6937, 60.7740, -29.4304,  0, 0, 0
L -151.6915, 58.3701, -29.4304,  -151.6937, 60.7740, -29.4304,  0, 0, 0
L -150.3531, 58.3729, -29.4296,  -151.6915, 58.3701, -29.4304,  0, 0, 0
L -149.8471, 103.6842, -17.5279,  -139.7400, 103.6738, -17.5279,  0, 0, 0
L -139.7401, 99.8419, -17.5289,  -139.7400, 103.6738, -17.5279,  0, 0, 0
L -149.8471, 103.6842, -17.5309,  -149.8486, 99.4017, -17.5289,  0, 0, 0
L -139.7376, 84.4068, -17.5270,  -139.7392, 85.9060, -17.5270,  0, 0, 0
L -139.7392, 85.9060, -17.5270,  -137.3383, 85.9085, -17.5270,  0, 0, 0
L -137.3383, 85.9085, -16.8393,  -137.3362, 83.3636, -16.8396,  0, 0, 0
L -149.8477, 85.9050, -17.5270,  -152.2485, 85.9068, -17.5270,  0, 0, 0
L -152.2511, 83.3635, -29.4309,  -137.3362, 83.3636, -29.4308,  0, 0, 0
L -137.3370, 84.4150, -28.3902,  -123.2142, 84.4150, -28.3917,  0, 0, 0
L -123.2142, 84.4150, -29.4280,  -123.1937, 99.9050, -29.4283,  127, 127, 127
L -149.8488, 84.4341, -17.5270,  -149.8477, 85.9050, -17.5270,  0, 0, 0
L -149.8488, 84.4270, -17.5270,  -139.7376, 84.4068, -17.5270,  0, 0, 0
L -152.2485, 85.9068, -16.8396,  -152.2511, 83.3635, -16.8399,  0, 0, 0
L -152.2501, 84.4137, -28.3902,  -166.3865, 84.4090, -28.3922,  0, 0, 0
L -166.4222, 99.3820, -29.4297,  -166.3865, 84.4090, -29.4298,  127, 127, 127
L -190.9397, 99.3533, -28.3884,  -149.8486, 99.4017, -28.3902,  0, 0, 0
L -151.9766, 85.9064, -17.5727,  -151.9747, 99.3991, -17.5727,  127, 127, 127
L -153.7529, 99.3970, -19.1191,  -153.7282, 84.4132, -19.1191,  127, 127, 127
L -155.1239, 99.3957, -20.1505,  -155.8520, 84.4128, -20.1505,  127, 127, 127
L -156.1859, 99.3943, -21.1814,  -156.1859, 84.4124, -21.1814,  127, 127, 127
L -157.3434, 99.3927, -22.2127,  -157.3053, 84.4120, -22.2127,  127, 127, 127
L -158.5808, 99.3914, -23.2438,  -158.5785, 84.4116, -23.2438,  127, 127, 127
L -159.7090, 99.3901, -24.2747,  -159.7153, 84.4111, -24.2747,  127, 127, 127
L -160.9310, 84.4107, -25.3061,  -160.9488, 99.3887, -25.3061,  127, 127, 127
L -162.1271, 84.4103, -26.3370,  -162.7829, 99.3872, -26.3370,  127, 127, 127
L -163.2652, 99.3859, -27.3683,  -163.2274, 84.4102, -27.3682,  127, 127, 127
L -164.4137, 84.4098, -28.3994,  -164.5211, 99.3842, -28.3994,  127, 127, 127
L -165.4892, 99.3833, -28.9148,  -165.4884, 84.4094, -28.9148,  127, 127, 127
L -165.4808, 60.7712, -29.4303,  -163.7829, 60.7764, -29.4303,  0, 0, 0
L -163.8069, 58.3727, -29.4304,  -163.7829, 60.7764, -29.4303,  0, 0, 0
L -163.8069, 58.3727, -29.4303,  -165.4790, 58.3716, -29.4303,  0, 0, 0
L -165.4790, 58.3716, -29.4304,  -165.4808, 60.7712, -29.4304,  0, 0, 0
L -174.8701, 60.7897, -29.4314,  -174.8673, 58.3922, -29.4314,  0, 0, 0
L -174.8673, 58.3922, -29.4314,  -177.2709, 58.3915, -29.4314,  0, 0, 0
L -177.2709, 58.3915, -29.4314,  -177.2720, 60.7963, -29.4314,  0, 0, 0
L -174.8701, 60.7897, -29.4303,  -177.2720, 60.7963, -29.4314,  0, 0, 0
L -126.5130, 60.7723, -29.4303,  -124.1175, 60.7768, -29.4304,  0, 0, 0
L -124.7780, 58.3519, -29.4303,  -126.4825, 58.3498, -29.4303,  0, 0, 0
L -124.1175, 60.7768, -29.4304,  -124.7780, 58.3519, -29.4304,  0, 0, 0
L -126.5130, 60.7723, -29.4299,  -126.4825, 58.3498, -29.4303,  0, 0, 0
L -114.7151, 60.7736, -29.4314,  -114.7188, 58.3736, -29.4314,  0, 0, 0
L -114.7188, 58.3736, -29.4314,  -112.3160, 58.3718, -29.4314,  0, 0, 0
L -112.3160, 58.3718, -29.4314,  -112.3156, 60.7762, -29.4314,  0, 0, 0
L -114.7151, 60.7736, -29.4314,  -112.3156, 60.7762, -29.4314,  0, 0, 0
L -112.3134, 35.7515, -29.4314,  -114.7164, 35.7533, -29.4314,  0, 0, 0
L -114.7164, 35.7533, -29.4314,  -114.7175, 33.3539, -29.4314,  0, 0, 0
L -114.7175, 33.3539, -29.4314,  -112.3198, 33.3498, -29.4314,  0, 0, 0
L -112.3198, 33.3498, -29.4314,  -112.3134, 35.7515, -29.4314,  0, 0, 0
L -124.1072, 35.7531, -29.4304,  -124.1059, 33.3528, -29.4304,  0, 0, 0
L -124.1059, 33.3528, -29.4303,  -126.5075, 33.3489, -29.4303,  0, 0, 0
L -126.5075, 33.3489, -29.4303,  -126.5079, 35.7520, -29.4303,  0, 0, 0
L -124.1072, 35.7531, -29.4303,  -126.5079, 35.7520, -29.4303,  0, 0, 0
L -174.8683, 35.7717, -29.4314,  -177.2706, 35.7702, -29.4314,  0, 0, 0
L -177.2706, 35.7702, -29.4314,  -177.2701, 33.3714, -29.4314,  0, 0, 0
L -177.2701, 33.3714, -29.4314,  -174.8710, 33.3678, -29.4314,  0, 0, 0
L -174.8710, 33.3678, -29.4314,  -174.8683, 35.7717, -29.4314,  0, 0, 0
L -165.4791, 33.3483, -29.4304,  -165.4807, 35.7503, -29.4304,  0, 0, 0
L -165.4807, 35.7503, -29.4303,  -163.7779, 35.7513, -29.4303,  0, 0, 0
L -163.7969, 33.3513, -29.4295,  -163.7779, 35.7513, -29.4303,  0, 0, 0
L -163.7969, 33.3513, -29.4303,  -165.4791, 33.3483, -29.4303,  0, 0, 0
L -190.9389, 58.3721, -28.3902,  -188.7240, 58.3712, -29.4303,  0, 0, 0
L -188.7403, 60.7723, -29.4309,  -188.7240, 58.3712, -29.4309,  0, 0, 0
L -188.7403, 60.7723, -29.4304,  -195.8805, 60.7745, -29.4307,  0, 0, 0
L -195.8686, 70.8794, -29.4303,  -188.7363, 70.8829, -29.4304,  0, 0, 0
L -188.7343, 73.2830, -29.4302,  -190.9387, 73.2836, -28.3902,  0, 0, 0
L -190.9387, 73.2836, -28.3902,  -190.9397, 99.3533, -28.3902,  0, 0, 0
L -188.7343, 73.2830, -29.4302,  -188.7363, 70.8829, -29.4302,  0, 0, 0
L -195.8686, 70.8794, -29.4317,  -195.8710, 73.9765, -29.4333,  0, 0, 0
L -195.8710, 73.9765, -29.4333,  -200.8832, 73.9741, -29.4311,  0, 0, 0
L -200.8832, 73.9741, -29.4297,  -200.8830, 74.9762, -29.4297,  0, 0, 0
L -200.8830, 74.9762, -29.4297,  -221.9872, 74.9741, -29.4261,  0, 0, 0
L -221.9872, 74.9741, -29.4261,  -221.9919, 55.4279, -29.4262,  0, 0, 0
L -221.9919, 55.4279, -29.4240,  -219.2401, 55.4230, -29.4243,  0, 0, 0
L -219.2401, 55.4230, -28.6946,  -219.2410, 53.2700, -28.9588,  0, 0, 0
L -219.2410, 53.2700, -29.8829,  -220.2408, 53.2999, -29.8769,  0, 0, 0
L -220.2408, 53.2999, -29.8769,  -220.2410, 18.3978, -58.9151,  0, 0, 0
L -220.2410, 18.3978, -58.9151,  -219.2384, 18.3978, -58.9149,  0, 0, 0
L -219.2384, 18.3978, -60.1054,  -219.2402, 15.1578, -60.1058,  0, 0, 0
L -219.2402, 15.1578, -60.1066,  -222.4736, 15.1598, -60.1066,  0, 0, 0
L -222.4736, 15.1598, -60.1062,  -222.4746, 16.1615, -60.1058,  0, 0, 0
L -222.4746, 16.1615, -60.1058,  -224.5289, 16.1609, -60.1054,  0, 0, 0
L -224.5289, 16.1609, -60.1054,  -224.5759, 15.1615, -60.1052,  0, 0, 0
L -224.5759, 15.1615, -60.1047,  -229.6680, 15.1639, -60.1052,  0, 0, 0
L -229.5850, 12.6720, -60.1052,  -229.6690, 15.1645, -60.1052,  0, 0, 0
L -229.5850, 12.6720, -60.1058,  -232.8011, 12.7089, -60.1058,  0, 0, 0
L -232.8011, 12.7089, -60.1058,  -232.8008, 2.6118, -60.1056,  0, 0, 0
L -232.8008, 2.6118, -60.1058,  -229.6210, 2.6149, -60.1058,  0, 0, 0
L -229.6210, 2.6149, -60.1066,  -229.6009, -0.4817, -60.1084,  0, 0, 0
L -229.6020, -0.4818, -60.1084,  -224.4830, -0.4796, -60.1062,  0, 0, 0
L -224.4830, -0.4796, -60.1052,  -224.4650, -1.4821, -60.1054,  0, 0, 0
L -224.4650, -1.4821, -60.1054,  -222.4746, -1.4835, -60.1062,  0, 0, 0
L -222.4746, -1.4835, -60.1062,  -222.4757, -0.4836, -60.1062,  0, 0, 0
L -222.4757, -0.4836, -60.1075,  -220.7069, -0.4820, -60.1079,  0, 0, 0
L -220.7069, -0.4820, -60.1081,  -220.7069, -1.4862, -60.1081,  0, 0, 0
L -220.7069, -1.4862, -60.1081,  -206.9060, -1.4920, -60.1069,  0, 0, 0
L -206.9060, -1.4920, -60.1066,  -206.9259, 15.9953, -60.1066,  0, 0, 0
L -206.9259, 15.9953, -60.1066,  -206.1107, 53.3019, -29.8750,  0, 0, 0
L -206.1107, 53.3019, -29.8750,  -207.9939, 53.2849, -29.8850,  0, 0, 0
L -207.9939, 53.2849, -28.6956,  -207.9809, 55.4309, -28.6959,  0, 0, 0
L -207.9809, 55.4309, -29.4265,  -205.3537, 55.4254, -29.4263,  0, 0, 0
L -205.3537, 55.4254, -29.4263,  -205.3474, 56.6732, -29.4255,  0, 0, 0
L -205.3474, 56.6732, -29.4268,  -200.8812, 56.6809, -29.4283,  0, 0, 0
L -200.8812, 56.6809, -29.4283,  -200.8828, 57.6818, -29.4283,  0, 0, 0
L -200.8828, 57.6818, -29.4293,  -195.8702, 57.6784, -29.4302,  0, 0, 0
L -195.8702, 57.6784, -29.4302,  -195.8805, 60.7745, -29.4301,  0, 0, 0
L -190.9388, 58.3731, -28.3902,  -190.9376, 7.2355, -28.3902,  0, 0, 0
L -190.9376, 7.2355, -28.3902,  -177.2710, 7.2365, -28.3902,  0, 0, 0
L -177.2716, 9.4501, -29.4311,  -174.8771, 9.4514, -29.4311,  0, 0, 0
L -177.2710, 7.2365, -28.3902,  -177.2716, 9.4501, -29.4298,  0, 0, 0
L -165.4846, 9.4482, -29.4303,  -163.7899, 9.4519, -29.4303,  0, 0, 0
L -163.7899, 9.4519, -29.4303,  -163.7889, 7.2369, -28.3901,  0, 0, 0
L -163.7889, 7.2369, -28.3901,  -126.5070, 7.2484, -28.3902,  0, 0, 0
L -165.4846, 9.4482, -29.4309,  -165.4696, -1.8077, -29.4309,  0, 0, 0
L -174.8771, 9.4514, -29.4310,  -174.8781, -1.8085, -29.4310,  0, 0, 0
L -126.5070, 7.2484, -28.3902,  -126.5104, 9.4512, -29.4303,  0, 0, 0
L -126.5104, 9.4512, -29.4303,  -123.7968, 9.4540, -29.4303,  0, 0, 0
L -112.3152, 9.4517, -29.4310,  -114.9492, 9.4534, -29.4309,  0, 0, 0
L -112.3157, 7.2362, -22.4313,  -112.3152, 9.4517, -25.2596,  0, 0, 0
L -113.2138, 9.4520, -29.4311,  -113.2048, 10.2286, -29.4311,  127, 127, 127
L -177.2806, -1.8063, -28.2402,  -177.2794, -14.9306, -16.9554,  0, 0, 0
L -177.2794, -14.9306, -16.9554,  -177.2786, -23.7698, -16.5623,  0, 0, 0
L -177.2786, -23.7698, -16.5623,  -177.2777, -42.5480, -4.8158,  0, 0, 0
L -163.1346, -1.8062, -28.2404,  -163.1340, -14.9276, -16.9563,  0, 0, 0
L -163.1340, -14.9276, -16.9563,  -163.1346, -23.7694, -16.5623,  0, 0, 0
L -163.1346, -23.7694, -16.5623,  -163.1324, -42.5484, -4.8209,  0, 0, 0
L -163.1324, -42.5484, -5.1543,  -165.4790, -42.5478, -5.1543,  0, 0, 0
L -174.9335, -48.3132, -5.1547,  -174.9290, -62.2777, -5.1554,  64, 64, 64
L -177.2777, -42.5480, -5.1539,  -174.9355, -42.5486, -5.1543,  0, 0, 0
L -177.2806, -1.8068, -28.2403,  -174.8781, -1.8085, -28.2397,  0, 0, 0
L -163.1342, -1.8061, -28.2404,  -165.4696, -1.8077, -28.2404,  0, 0, 0
L -165.4790, -42.5478, -5.1547,  -165.4781, -50.5249, -5.1554,  0, 0, 0
L -165.4781, -50.5249, -5.1543,  -163.1451, -50.5247, -5.1543,  0, 0, 0
L -163.1451, -50.5247, -5.1543,  -163.1456, -48.3091, -4.1139,  0, 0, 0
L -149.4781, -48.3093, -4.1139,  -149.4761, -122.5087, -4.1139,  0, 0, 0
L -149.4781, -48.3093, -4.1139,  -163.1459, -48.3098, -4.1139,  0, 0, 0
L -149.4761, -122.5087, -4.1139,  -230.4260, -122.5126, -4.1139,  0, 0, 0
L -163.1416, -120.5768, -5.1543,  -227.3224, -120.5759, -5.1543,  64, 64, 64
L -163.1460, -122.5092, -4.1139,  -163.1416, -120.5768, -4.1161,  64, 64, 64
L -227.3224, -120.5759, -5.1543,  -227.3152, -122.5096, -4.1139,  64, 64, 64
