L 921.3378, -625.9720, 48.7750,  1024.1261, -433.6567, 48.7853, 160, 160, 160
L 1024.1261, -433.6567, 48.7853,  1087.4148, -225.0135, 48.7340, 160, 160, 160
L 1087.4148, -225.0135, 48.7340,  1108.7856, -8.0000, 48.6169, 160, 160, 160
L 1108.7856, -8.0000, 48.6169,  1087.4153, 208.9713, 49.2329, 160, 160, 160
L 1087.4153, 208.9713, 49.2329,  1024.1243, 417.6345, 49.0600, 160, 160, 160
L 1024.1243, 417.6345, 49.0600,  921.3418, 609.9295, 48.7855, 160, 160, 160
L 921.3418, 609.9295, 48.7855,  783.0044, 776.5367, 49.1896, 160, 160, 160
L 783.0044, 776.5367, 49.1896,  614.4581, 914.4994, 48.5109, 160, 160, 160
L 614.4581, 914.4994, 48.5109,  422.1394, 1017.2848, 46.9032, 160, 160, 160
L 422.1394, 1017.2848, 46.9032,  213.4702, 1080.5908, 46.9032, 160, 160, 160
L 213.4702, 1080.5908, 46.9032,  -3.5131, 1101.9607, 46.9034, 160, 160, 160
L -114.8757, 781.8018, 46.9115,  -101.0457, 783.2548, 46.9092, 160, 160, 160
L -101.0457, 783.2548, 46.9085,  -100.1479, 773.0263, 46.9089, 160, 160, 160
L -100.1479, 773.0263, 46.9101,  -113.7372, 771.5381, 46.9097, 160, 160, 160
L -103.3650, 772.6740, 46.9097,  -96.3250, 684.7890, 46.8769, 160, 160, 160
L -51.4449, 672.7723, 46.8769,  -3.6945, 677.4764, 46.8722, 160, 160, 160
L -3.6945, 677.4764, 46.8722,  130.3703, 664.2857, 46.8722, 160, 160, 160
L 130.3703, 664.2857, 46.8722,  259.0085, 625.2159, 46.8722, 160, 160, 160
L 259.0085, 625.2159, 46.8722,  377.8224, 561.6597, 46.8723, 160, 160, 160
L 377.8224, 561.6597, 46.8723,  481.9049, 476.1735, 46.8723, 160, 160, 160
L 481.9049, 476.1735, 46.8723,  566.7661, 372.6613, 46.8723, 160, 160, 160
L 566.7661, 372.6613, 46.8723,  630.1266, 254.1226, 46.8723, 160, 160, 160
L 630.1266, 254.1226, 46.8723,  669.3869, 124.8253, 46.8747, 160, 160, 160
L 669.3869, 124.8253, 46.8747,  682.4385, -8.5248, 46.8722, 160, 160, 160
L 682.4385, -8.5248, 46.8722,  669.2899, -142.2593, 46.8723, 160, 160, 160
L 669.2899, -142.2593, 46.8723,  630.1808, -271.1494, 46.8723, 160, 160, 160
L 630.1808, -271.1494, 46.8723,  565.8100, -389.8424, 46.8722, 160, 160, 160
L 565.8100, -389.8424, 46.8722,  480.6780, -493.6536, 46.8737, 160, 160, 160
L 480.6780, -493.6536, 46.8737,  376.8300, -579.0384, 46.8745, 160, 160, 160
L 376.8300, -579.0384, 46.8745,  258.1201, -643.0907, 46.8739, 160, 160, 160
L 258.1201, -643.0907, 46.8739,  128.6708, -681.3408, 46.8763, 160, 160, 160
L 128.6708, -681.3408, 46.8763,  68.5703, -687.3237, 47.1554, 160, 160, 160
L 80.1795, -686.1681, 47.1554,  81.2452, -697.8303, 47.1571, 160, 160, 160
L 84.4353, -697.6633, 47.1381,  85.3668, -708.2421, 47.1422, 160, 160, 160
L 85.3668, -708.2421, 47.1676,  70.3966, -709.6019, 47.1995, 160, 160, 160
L 70.3966, -709.6019, 47.2127,  68.5703, -687.3237, 47.2125, 160, 160, 160
L 69.4820, -698.4463, 47.1565,  84.4353, -697.6633, 47.1485, 160, 160, 160
L 69.5384, -687.2273, 47.1482,  67.4691, -602.7535, 27.4722, 160, 160, 160
L 67.4691, -602.7535, 27.4722,  8.6999, -602.7280, 12.0957, 160, 160, 160
L 8.6999, -602.7280, 11.7612,  8.7432, -576.6163, 11.7666, 160, 160, 160
L 21.2223, -576.6105, 11.7666,  7.4055, -576.6169, 11.7666, 160, 160, 160
L 7.8658, -552.2783, 14.3570,  7.4055, -576.6169, 11.8923, 160, 160, 160
L 7.8658, -552.2783, 14.3571,  21.1738, -552.2938, 14.3571, 160, 160, 160
L 21.1738, -552.2938, 14.3568,  21.2223, -576.6105, 14.3565, 160, 160, 160
L -20.5105, -576.4819, 14.3569,  -20.3609, -552.2912, 14.3570, 160, 160, 160
L -20.3609, -552.2912, 14.3571,  -6.7655, -552.2870, 14.3571, 160, 160, 160
L -6.7655, -552.2870, 14.3570,  -6.9174, -576.6090, 12.0551, 160, 160, 160
L -6.9174, -576.6090, 11.7818,  -20.5105, -576.4819, 11.7818, 160, 160, 160
L -7.5871, -619.6279, 11.8845,  -7.7225, -576.6014, 11.7625, 160, 160, 160
L -7.5863, -619.6279, 11.8845,  49.8114, -619.2986, 16.9883, 160, 160, 160
L 49.8114, -619.2986, 28.9860,  55.6863, -688.2772, 47.1482, 160, 160, 160
L 56.9205, -688.1456, 47.4196,  58.5475, -710.9661, 47.2235, 160, 160, 160
L 58.5475, -710.9661, 47.2094,  49.7795, -711.3523, 47.1998, 160, 160, 160
L 49.7795, -711.3523, 47.1998,  44.5094, -711.9232, 47.1841, 160, 160, 160
L 44.5094, -711.9232, 47.1807,  43.5668, -700.9441, 47.1752, 160, 160, 160
L 43.5668, -700.9441, 47.1779,  57.7970, -700.4395, 47.1840, 160, 160, 160
L 45.9844, -700.8584, 47.1840,  45.1093, -689.4056, 47.1774, 160, 160, 160
L 56.9205, -688.1456, 47.1774,  -3.7129, -694.6136, 47.1375, 160, 160, 160
L -3.7129, -694.6136, 47.1375,  -137.5238, -681.3942, 47.0716, 160, 160, 160
L -137.5238, -681.3942, 47.0716,  -266.2395, -642.3354, 46.8745, 160, 160, 160
L -266.2395, -642.3354, 46.8745,  -383.9250, -579.0883, 46.8742, 160, 160, 160
L -383.9250, -579.0883, 46.8742,  -488.2205, -493.3488, 46.8735, 160, 160, 160
L -488.2205, -493.3488, 46.8735,  -573.2039, -389.4932, 46.8722, 160, 160, 160
L -573.2039, -389.4932, 46.8722,  -637.5179, -270.8907, 46.8723, 160, 160, 160
L -637.5179, -270.8907, 46.8723,  -676.4885, -142.2865, 46.8723, 160, 160, 160
L -676.4885, -142.2865, 46.8723,  -689.7018, -8.1255, 46.8721, 160, 160, 160
L -689.7018, -8.1255, 46.8721,  -676.4265, 125.4475, 46.8746, 160, 160, 160
L -676.4265, 125.4475, 46.8746,  -637.4399, 253.9640, 46.8723, 160, 160, 160
L -637.4399, 253.9640, 46.8723,  -574.0652, 372.5544, 46.8723, 160, 160, 160
L -574.0652, 372.5544, 46.8723,  -488.6642, 476.5946, 46.8723, 160, 160, 160
L -488.6642, 476.5946, 46.8723,  -384.5104, 562.0166, 46.8723, 160, 160, 160
L -384.5104, 562.0166, 46.8723,  -265.8331, 625.4348, 46.8722, 160, 160, 160
L -265.8331, 625.4348, 46.8722,  -137.3074, 664.3345, 46.8722, 160, 160, 160
L -137.3074, 664.3345, 46.8722,  -131.0320, 664.9335, 46.8740, 160, 160, 160
L -131.0320, 664.9335, 46.8740,  -138.6745, 768.7097, 46.9987, 160, 160, 160
L -129.2474, 769.7937, 46.9987,  -141.8985, 768.3389, 46.9839, 160, 160, 160
L -142.9993, 778.9008, 47.0111,  -130.0480, 780.0742, 47.0076, 160, 160, 160
L -129.0901, 769.8118, 46.9790,  -119.4891, 667.4269, -3.5122, 160, 160, 160
L -113.8046, 771.5308, 46.9119,  -105.3024, 684.8937, 2.5530, 160, 160, 160
L -142.9993, 778.9008, 46.9846,  -141.8985, 768.3389, 46.9789, 160, 160, 160
L -105.3024, 684.8937, -4.9476,  -51.5697, 684.2672, -19.1293, 160, 160, 160
L -114.8757, 781.8018, 46.9112,  -113.7372, 771.5381, 46.9118, 160, 160, 160
L -130.0480, 780.0742, 46.9946,  -129.2474, 769.7937, 47.0256, 160, 160, 160
L -119.4891, 667.4269, -3.5290,  -67.6557, 667.4250, -18.4274, 160, 160, 160
L -67.6557, 667.4250, -16.6261,  -64.6250, 573.3320, -6.1544, 160, 160, 160
L -4.7880, 548.8650, 14.3571,  -18.3363, 548.8625, 14.3570, 160, 160, 160
L 22.6605, 548.8748, 14.3571,  9.4974, 548.8959, 14.3571, 160, 160, 160
L -18.2199, 573.1042, 14.3569,  -18.3363, 548.8625, 14.3570, 160, 160, 160
L 9.4974, 548.8959, 14.3570,  9.2230, 573.2747, 11.3691, 160, 160, 160
L -4.7880, 548.8650, 14.2655,  -5.1440, 573.0573, 11.2110, 160, 160, 160
L -18.2199, 573.1042, 9.6064,  -5.1440, 573.0573, 10.5735, 160, 160, 160
L 22.6948, 573.2191, 11.1183,  9.2230, 573.2747, 11.1206, 160, 160, 160
L 10.3442, 573.2700, 11.1330,  9.8815, 590.1666, 11.2827, 160, 160, 160
L 22.6948, 573.2191, 14.3565,  22.6605, 548.8748, 14.3576, 160, 160, 160
L 9.8815, 590.1666, 11.3178,  -51.4592, 589.7811, -3.6369, 160, 160, 160
L -51.4592, 589.7811, -9.1959,  -51.1449, 625.4603, -17.7444, 160, 160, 160
L -64.6250, 573.3320, -6.1822,  -18.2199, 573.1192, 4.9599, 160, 160, 160
L -51.1449, 625.4603, -18.8364,  -4.3090, 626.0299, -18.8303, 160, 160, 160
L -4.3090, 626.0299, -18.8229,  -5.5085, 505.5113, -18.8183, 160, 160, 160
L 13.6267, 505.6201, -18.8312,  8.4582, 639.7708, -18.8319, 160, 160, 160
L 8.4582, 639.7708, -18.8319,  -8.5651, 639.5008, -18.8161, 160, 160, 160
L -22.4596, 639.4421, -18.8149,  -51.0855, 639.3611, -18.8319, 160, 160, 160
L -51.0855, 639.3611, -18.8353,  -51.5685, 684.2670, -19.1313, 160, 160, 160
L -5.4893, 507.4365, -11.7984,  13.5488, 507.6418, -11.8148, 160, 160, 160
L -8.5651, 639.5008, -18.8168,  -8.3371, 655.9751, -18.8226, 160, 160, 160
L -22.4596, 639.4421, -18.8211,  -22.1264, 656.0015, -18.8251, 160, 160, 160
L -8.3371, 655.9751, -18.8006,  -22.1264, 656.0015, -18.7995, 160, 160, 160
L -64.2857, 579.9877, 55.4625,  -176.1447, 556.4691, 55.4651, 160, 160, 160
L -176.1447, 556.4691, 55.4651,  -281.7775, 511.3666, 55.4644, 160, 160, 160
L -281.7775, 511.3666, 55.4644,  -376.5558, 446.5307, 55.4659, 160, 160, 160
L -376.5558, 446.5307, 55.4659,  -456.8218, 364.4941, 55.4661, 160, 160, 160
L -456.8218, 364.4941, 55.4661,  -519.5898, 268.3143, 55.4657, 160, 160, 160
L -519.5898, 268.3143, 55.4657,  -562.3732, 161.7591, 55.4656, 160, 160, 160
L -562.3732, 161.7591, 55.4656,  -583.5456, 48.9073, 55.4653, 160, 160, 160
L -583.5456, 48.9073, 55.4653,  -582.2915, -65.9397, 55.4659, 160, 160, 160
L -582.2915, -65.9397, 55.4659,  -558.6743, -178.2514, 55.4651, 160, 160, 160
L -558.6743, -178.2514, 55.4651,  -513.5820, -283.8575, 55.4656, 160, 160, 160
L -513.5820, -283.8575, 55.4656,  -448.7068, -378.6833, 55.4641, 160, 160, 160
L -448.7068, -378.6833, 55.4641,  -366.6822, -458.9382, 55.4650, 160, 160, 160
L -366.6822, -458.9382, 55.4650,  -270.5073, -521.6968, 55.4648, 160, 160, 160
L -270.5073, -521.6968, 55.4648,  -163.9487, -564.4778, 55.4656, 160, 160, 160
L -163.9487, -564.4778, 55.4656,  -51.1069, -585.6467, 55.4652, 160, 160, 160
L -51.1069, -585.6467, 55.4652,  -7.6962, -584.9526, 55.2558, 160, 160, 160
L 8.7295, -584.8668, 55.2709,  63.6832, -584.3953, 55.4658, 160, 160, 160
L 63.6832, -584.3953, 55.4658,  176.5691, -560.5535, 55.4613, 160, 160, 160
L 176.5691, -560.5535, 55.4613,  281.6819, -515.6646, 55.4643, 160, 160, 160
L 281.6819, -515.6646, 55.4643,  376.4571, -450.8270, 55.4644, 160, 160, 160
L 376.4571, -450.8270, 55.4644,  456.5790, -368.9368, 55.4641, 160, 160, 160
L 456.5790, -368.9368, 55.4641,  519.6294, -272.2556, 55.4626, 160, 160, 160
L 519.6294, -272.2556, 55.4626,  562.2634, -166.0698, 55.4652, 160, 160, 160
L 562.2634, -166.0698, 55.4652,  583.4396, -53.1715, 55.4645, 160, 160, 160
L 583.4396, -53.1715, 55.4645,  582.1878, 61.5894, 55.4650, 160, 160, 160
L 582.1878, 61.5894, 55.4650,  558.5512, 173.9979, 55.4654, 160, 160, 160
L 558.5512, 173.9979, 55.4654,  513.4533, 279.5904, 55.4646, 160, 160, 160
L 513.4533, 279.5904, 55.4646,  448.6368, 374.3402, 55.4645, 160, 160, 160
L 448.6368, 374.3402, 55.4645,  366.5597, 454.6462, 55.4653, 160, 160, 160
L 366.5597, 454.6462, 55.4653,  270.4076, 517.3867, 55.4649, 160, 160, 160
L 270.4076, 517.3867, 55.4649,  163.8385, 560.1724, 55.4654, 160, 160, 160
L 163.8385, 560.1724, 55.4654,  50.9868, 581.3411, 55.4643, 160, 160, 160
L 50.9868, 581.3411, 55.4643,  10.7266, 580.8923, 54.7800, 160, 160, 160
L 18.1437, 492.1794, -11.1709,  18.1610, 505.6842, -11.7966, 160, 160, 160
L 13.6267, 505.6201, -11.7966,  44.3871, 506.0553, -12.6048, 160, 160, 160
L 44.3871, 506.0553, -12.6048,  142.5021, 487.6531, -11.0233, 160, 160, 160
L 142.5021, 487.6531, -11.0233,  235.1051, 450.4722, -9.9661, 160, 160, 160
L 235.1051, 450.4722, -9.9661,  318.7059, 395.9117, -9.4599, 160, 160, 160
L 318.7059, 395.9117, -9.4599,  389.9832, 326.1727, -9.4594, 160, 160, 160
L 389.9832, 326.1727, -9.4594,  446.3520, 243.7784, -9.4663, 160, 160, 160
L 446.3520, 243.7784, -9.4663,  485.5453, 151.9893, -9.4847, 160, 160, 160
L 485.5453, 151.9893, -9.4847,  506.1113, 50.7394, -9.4848, 160, 160, 160
L 506.1113, 50.7394, -9.4848,  507.1633, -45.4206, -9.4846, 160, 160, 160
L 507.1633, -45.4206, -9.4846,  488.7664, -143.4991, -9.4820, 160, 160, 160
L 488.7664, -143.4991, -9.4820,  451.0834, -236.8784, -9.4843, 160, 160, 160
L 451.0834, -236.8784, -9.4843,  397.1177, -319.5869, -9.4840, 160, 160, 160
L 397.1177, -319.5869, -9.4840,  327.2758, -391.0059, -9.4783, 160, 160, 160
L 327.2758, -391.0059, -9.4783,  244.8726, -447.3750, -9.7527, 160, 160, 160
L 244.8726, -447.3750, -9.7527,  153.1290, -486.5546, -10.1641, 160, 160, 160
L 153.1290, -486.5546, -10.1641,  55.4651, -507.0919, -10.0422, 160, 160, 160
L 55.4651, -507.0919, -10.0422,  -44.2939, -508.1808, -9.5016, 160, 160, 160
L -44.2939, -508.1808, -9.5016,  -142.4104, -489.7788, -9.7541, 160, 160, 160
L -142.4104, -489.7788, -9.7541,  -235.0344, -452.5848, -9.5964, 160, 160, 160
L -235.0344, -452.5848, -9.5964,  -318.5877, -398.0647, -9.4577, 160, 160, 160
L -318.5877, -398.0647, -9.4577,  -389.9259, -328.2603, -9.4601, 160, 160, 160
L -389.9259, -328.2603, -9.4601,  -446.2657, -245.8946, -9.4597, 160, 160, 160
L -446.2657, -245.8946, -9.4597,  -485.5063, -153.8674, -9.4621, 160, 160, 160
L -485.5063, -153.8674, -9.4621,  -505.0106, -61.1106, -9.4631, 160, 160, 160
L -505.0106, -61.1106, -9.4631,  -505.9829, -56.5761, -9.4631, 160, 160, 160
L -505.9829, -56.5761, -9.4631,  -507.0688, 43.3296, -9.4632, 160, 160, 160
L -507.0688, 43.3296, -9.4632,  -488.6485, 141.4478, -9.4635, 160, 160, 160
L -488.6485, 141.4478, -9.4635,  -451.4796, 234.0134, -9.5605, 160, 160, 160
L -451.4796, 234.0134, -9.5605,  -396.9797, 317.5360, -9.4587, 160, 160, 160
L -396.9797, 317.5360, -9.4587,  -327.1797, 388.8865, -9.4599, 160, 160, 160
L -327.1797, 388.8865, -9.4599,  -244.7814, 445.2506, -9.5352, 160, 160, 160
L -244.7814, 445.2506, -9.5352,  -153.0133, 484.4364, -9.3689, 160, 160, 160
L -153.0133, 484.4364, -9.3689,  -55.3885, 504.9646, -12.4429, 160, 160, 160
L -55.3885, 504.9646, -12.4429,  -5.5085, 505.5113, -11.7253, 160, 160, 160
L -14.0609, 505.4175, -11.7253,  -14.1767, 492.2176, -11.1216, 160, 160, 160
L -3.7346, 492.2430, -11.1216,  -16.7790, 492.2112, -11.1538, 160, 160, 160
L -16.7790, 492.2112, -11.1388,  -16.8271, 482.0309, -10.7916, 160, 160, 160
L -16.8271, 482.0309, -10.6200,  -3.5381, 482.0339, -10.4624, 160, 160, 160
L -3.5381, 482.0339, -10.5732,  -3.9931, 505.6754, -11.5590, 160, 160, 160
L -5.5070, 505.6604, -11.5590,  13.6178, 505.8498, -11.5610, 160, 160, 160
L 8.6860, 505.8010, -11.5610,  8.5593, 482.0725, -10.4999, 160, 160, 160
L 8.5593, 482.0725, -10.6122,  21.1734, 482.0408, -10.7256, 160, 160, 160
L 21.1734, 482.0408, -10.8711,  21.0874, 492.1771, -11.1740, 160, 160, 160
L 21.0874, 492.1771, -11.2149,  8.6133, 492.1860, -11.1708, 160, 160, 160
L -266.6353, 259.3659, -9.4594,  -264.1655, 252.4662, -9.4594, 160, 160, 160
L -264.1655, 252.4662, -9.4594,  -267.3371, 245.7018, -9.4594, 160, 160, 160
L -267.3371, 245.7018, -9.4594,  -274.1644, 243.5099, -9.4584, 160, 160, 160
L -274.1644, 243.5099, -9.4584,  -281.0272, 246.5872, -9.4594, 160, 160, 160
L -281.0272, 246.5872, -9.4594,  -283.3742, 253.1439, -9.4594, 160, 160, 160
L -283.3742, 253.1439, -9.4594,  -280.3128, 259.9799, -9.4594, 160, 160, 160
L -280.3128, 259.9799, -9.4594,  -273.4683, 262.5978, -9.4594, 160, 160, 160
L -273.4683, 262.5978, -9.4594,  -266.6353, 259.3659, -9.4594, 160, 160, 160
L -366.2655, -210.0512, -9.4603,  -359.0947, -207.6503, -9.4603, 160, 160, 160
L -359.0947, -207.6503, -9.4603,  -352.4954, -210.7701, -9.4603, 160, 160, 160
L -352.4954, -210.7701, -9.4603,  -350.1119, -217.5749, -9.4602, 160, 160, 160
L -350.1119, -217.5749, -9.4602,  -353.3536, -224.4992, -9.4601, 160, 160, 160
L -353.3536, -224.4992, -9.4601,  -360.3527, -226.9529, -9.4601, 160, 160, 160
L -360.3527, -226.9529, -9.4601,  -367.0196, -223.3098, -9.4601, 160, 160, 160
L -367.0196, -223.3098, -9.4601,  -369.3105, -216.9257, -9.4602, 160, 160, 160
L -369.3105, -216.9257, -9.4602,  -366.2655, -210.0512, -9.4602, 160, 160, 160
L -106.4201, -330.7366, -9.4594,  -103.2638, -324.0877, -9.4594, 160, 160, 160
L -103.2638, -324.0877, -9.4594,  -96.0479, -321.5964, -9.4594, 160, 160, 160
L -96.0479, -321.5964, -9.4594,  -89.7376, -324.6469, -9.4594, 160, 160, 160
L -89.7376, -324.6469, -9.4594,  -87.1118, -331.8972, -9.4594, 160, 160, 160
L -87.1118, -331.8972, -9.4594,  -90.4005, -338.4071, -9.4594, 160, 160, 160
L -90.4005, -338.4071, -9.4594,  -97.6752, -340.7734, -9.4594, 160, 160, 160
L -97.6752, -340.7734, -9.4594,  -103.9270, -337.6364, -9.4594, 160, 160, 160
L -103.9270, -337.6364, -9.4594,  -106.4201, -330.7366, -9.4594, 160, 160, 160
L 246.4676, -217.9232, -9.4594,  244.0375, -210.8429, -9.4594, 160, 160, 160
L 244.0375, -210.8429, -9.4594,  247.6162, -204.1064, -9.4594, 160, 160, 160
L 247.6162, -204.1064, -9.4594,  253.8646, -201.8679, -9.4594, 160, 160, 160
L 253.8646, -201.8679, -9.4594,  260.8880, -205.2113, -9.4594, 160, 160, 160
L 260.8880, -205.2113, -9.4594,  263.3445, -212.0738, -9.4594, 160, 160, 160
L 263.3445, -212.0738, -9.4594,  259.9196, -218.8706, -9.4594, 160, 160, 160
L 259.9196, -218.8706, -9.4594,  252.8246, -220.9284, -9.4594, 160, 160, 160
L 252.8246, -220.9284, -9.4594,  246.4676, -217.9232, -9.4594, 160, 160, 160
L 258.8957, 219.8777, -9.4598,  251.7998, 217.5028, -9.4596, 160, 160, 160
L 251.7998, 217.5028, -9.4596,  245.3860, 220.5343, -9.4595, 160, 160, 160
L 245.3860, 220.5343, -9.4595,  242.7553, 227.7234, -9.4594, 160, 160, 160
L 242.7553, 227.7234, -9.4594,  245.9158, 234.1809, -9.4594, 160, 160, 160
L 245.9158, 234.1809, -9.4594,  252.8006, 236.7005, -9.4595, 160, 160, 160
L 252.8006, 236.7005, -9.4595,  259.4721, 233.6302, -9.4597, 160, 160, 160
L 259.4721, 233.6302, -9.4597,  261.9948, 226.4368, -9.4599, 160, 160, 160
L 261.9948, 226.4368, -9.4599,  258.8957, 219.8777, -9.4599, 160, 160, 160
L 8.2863, 5.8223, -9.4594,  24.7723, 1.8547, -9.4594, 160, 160, 160
L 24.7723, 1.8547, -9.4594,  41.2234, -6.0486, -9.4594, 160, 160, 160
L 41.2234, -6.0486, -9.4594,  53.8894, -15.2596, -9.4594, 160, 160, 160
L 53.8894, -15.2596, -9.4594,  65.2351, -27.5927, -9.4594, 160, 160, 160
L 65.2351, -27.5927, -9.4594,  74.0692, -42.0302, -9.4594, 160, 160, 160
L 74.0692, -42.0302, -9.4594,  79.9819, -58.4049, -9.4594, 160, 160, 160
L 79.9819, -58.4049, -9.4594,  82.5686, -74.7463, -9.4594, 160, 160, 160
L 82.5686, -74.7463, -9.4594,  81.8729, -91.2323, -9.4594, 160, 160, 160
L 81.8729, -91.2323, -9.4594,  77.8986, -107.9570, -9.4594, 160, 160, 160
L 77.8986, -107.9570, -9.4594,  70.8767, -123.1453, -9.4594, 160, 160, 160
L 70.8767, -123.1453, -9.4594,  60.9219, -136.8794, -9.4594, 160, 160, 160
L 60.9219, -136.8794, -9.4594,  48.4458, -148.4181, -9.4594, 160, 160, 160
L 48.4458, -148.4181, -9.4594,  33.8321, -157.3607, -9.4594, 160, 160, 160
L 33.8321, -157.3607, -9.4594,  17.8250, -163.2063, -9.4594, 160, 160, 160
L 17.8250, -163.2063, -9.4594,  1.4222, -165.7163, -9.4594, 160, 160, 160
L 1.4222, -165.7163, -9.4594,  -15.4358, -165.0455, -9.4594, 160, 160, 160
L -15.4358, -165.0455, -9.4594,  -32.1228, -161.0290, -9.4594, 160, 160, 160
L -32.1228, -161.0290, -9.4594,  -46.9245, -154.1403, -9.4594, 160, 160, 160
L -46.9245, -154.1403, -9.4594,  -60.8194, -144.1136, -9.4594, 160, 160, 160
L -60.8194, -144.1136, -9.4594,  -72.3050, -131.7396, -9.4594, 160, 160, 160
L -72.3050, -131.7396, -9.4594,  -81.2201, -117.1409, -9.4594, 160, 160, 160
L -81.2201, -117.1409, -9.4594,  -86.9455, -101.5989, -9.4594, 160, 160, 160
L -86.9455, -101.5989, -9.4594,  -89.6554, -84.7778, -9.4594, 160, 160, 160
L -89.6554, -84.7778, -9.4594,  -88.9720, -67.6192, -9.4594, 160, 160, 160
L -88.9720, -67.6192, -9.4594,  -85.0256, -51.2200, -9.4594, 160, 160, 160
L -85.0256, -51.2200, -9.4594,  -78.0845, -36.2264, -9.4594, 160, 160, 160
L -78.0845, -36.2264, -9.4594,  -67.9676, -22.2420, -9.4594, 160, 160, 160
L -67.9676, -22.2420, -9.4594,  -55.7654, -10.9707, -9.4594, 160, 160, 160
L -55.7654, -10.9707, -9.4594,  -41.3022, -2.0669, -9.4594, 160, 160, 160
L -41.3022, -2.0669, -9.4594,  -25.5192, 3.7786, -9.4594, 160, 160, 160
L -25.5192, 3.7786, -9.4594,  -8.6440, 6.4948, -9.4594, 160, 160, 160
L -8.6440, 6.4948, -9.4594,  8.2863, 5.8223, -9.4594, 160, 160, 160
L -13.8602, -40.3134, 1.2863,  -6.0876, -39.0860, 1.2863, 160, 160, 160
L -6.0876, -39.0860, 1.2863,  1.7005, -39.3669, 1.2853, 160, 160, 160
L 1.7005, -39.3669, 1.2853,  9.6143, -41.2045, 1.2862, 160, 160, 160
L 9.6143, -41.2045, 1.2862,  16.8522, -44.5165, 1.2862, 160, 160, 160
L 16.8522, -44.5165, 1.2862,  23.5880, -49.4374, 1.2859, 160, 160, 160
L 23.5880, -49.4374, 1.2859,  28.6415, -54.9093, 1.2857, 160, 160, 160
L 28.6415, -54.9093, 1.2857,  33.1178, -62.2625, 1.2853, 160, 160, 160
L 33.1178, -62.2625, 1.2853,  35.6831, -69.2262, 1.2858, 160, 160, 160
L 35.6831, -69.2262, 1.2858,  36.9363, -76.9650, 1.2857, 160, 160, 160
L 36.9363, -76.9650, 1.2857,  36.6772, -84.8663, 1.2858, 160, 160, 160
L 36.6772, -84.8663, 1.2858,  34.6533, -93.2577, 1.2860, 160, 160, 160
L 34.6533, -93.2577, 1.2860,  31.3262, -100.3577, 1.2861, 160, 160, 160
L 31.3262, -100.3577, 1.2861,  26.6645, -106.7145, 1.2859, 160, 160, 160
L 26.6645, -106.7145, 1.2859,  21.0182, -111.9304, 1.2862, 160, 160, 160
L 21.0182, -111.9304, 1.2862,  6.5490, -118.9376, 1.2862, 160, 160, 160
L 6.5490, -118.9376, 1.2862,  -1.0223, -120.1335, 1.2862, 160, 160, 160
L -1.0223, -120.1335, 1.2862,  -9.4751, -119.7673, 1.2862, 160, 160, 160
L -9.4751, -119.7673, 1.2862,  -16.5084, -118.0748, 1.2862, 160, 160, 160
L -16.5084, -118.0748, 1.2862,  -23.9536, -114.7240, 1.2861, 160, 160, 160
L -23.9536, -114.7240, 1.2861,  -30.3172, -110.1410, 1.2861, 160, 160, 160
L -30.3172, -110.1410, 1.2861,  -35.9618, -104.1147, 1.2858, 160, 160, 160
L -35.9618, -104.1147, 1.2858,  -40.1030, -97.3545, 1.2858, 160, 160, 160
